codigo,titulo,autore,possui,lido,paginas,formato,genero,editora,ano
M620t, Teoria Do Fato Jurídico - Plano De Existência, Marcos Bernardes De Mello,whishlist,unread,368, Fisico, theory of law, Saraiva Jur,1983
C500o, O Que É Ciência Afinal?, Alan F. Chalmers,avaliable,unread,222, Pdf, Scientific, Comunismo,2013
P025t, Teeteto (O Conhecimento), Platão,avaliable,unread,100, E-Book, Philosophy, Comunismo,-369
R570o, O Processo Civilizatório, Darcy Ribeiro,whishlist,unread,328, Fisico, sociology, Cla. Das Letras,1969
C001d, Discurso Sobre O Colonialismo, Aimé Césaire,whishlist,unread,136, Fisico, Essay, Veneta,1999
L200o, O Cru E O Cozido, Claude Lévi-Strauss,whishlist,unread,512, Fisico, History, Zahar,1965
L200e, Estruturas Elementares Do Parentesco, Claude Lévi-Strauss,whishlist,unread,544, Fisico, History, Vozes,1965
D200o.001, O Grande Massacre De Gatos, Robert Darnton,whishlist,unread,380, Fisico, History, Paz E Terra,1970
B011f, Fahrenheit 451, Ray Bradbury,avaliable,unread,216, E-Book, Distopia, Biblioteca Azul,1953
B027t, Tudo Que É Sólido Desmancha No Ar, Marshall Berman,whishlist,unread,472, E-Book, critica, Companhia De Bolso,2012
K027s.001, Sem Logo, Naomi Klein,whishlist,unread,544, Fisico, Critica, Record,2002
B027s.002, Sobre O Conceito De História, Walter Benjamin,whishlist,unread,208, E-Book, Critica, Alameda Editorial,1940
T200r, Religião E O Declínio Da Magia, Keith Thomas,whishlist,unread,728, Fisico, History, Cla. Das Letras,1967
K200o, Os Dois Corpos Do Rei, Ernst H. Kantorowicz,whishlist,unread,552, Fisico, History, Cla. Das Letras,1963
R018g, Gargantua, François Rabelais,whishlist,unread,480, Fisico, Ficcao, Sm Paradidatico,1854
R018p, Pentagruel, François Rabelais,whishlist,unread,480, Fisico, Satira, Sm Paradidarico,1854
B200o.002, O Mediterrâneo E O Mundo Mediterrâneo Na Época De Filipe II (Volume 1), Fernand Braudel,whishlist,unread,1644, Fisico, History, Edusp,1963
A200h, História Social Da Criança E Da Família, Philippe Ariès,whishlist,unread,400, E-Book, History, Ltc,1980
D200h, História Do Medo No Ocidente 1300-1800, Jean Delumeau,whishlist,unread,469, Fisico, History, Companhia De Bolso,1964
C200s, Saberes E Odores, Alain Corbin,whishlist,unread,368, Fisico, History, Cla. Das Letras,1968
